unix_ts,phase,cpu_pct,mem_mb
1786146996.0,storage,102.5,6607.8
1786146998.0,storage,101.6,6607.8
1786147000.0,storage,102.5,6610.0
1786147002.0,storage,101.7,6607.8
1786147004.0,storage,102.4,6605.7
1786147006.1,storage,101.3,6590.6
1786147008.1,storage,102.5,6767.8
1786147010.1,storage,101.0,6769.9
1786147012.1,storage,102.4,6765.6
1786147014.2,storage,104.5,6768.9
1786147016.2,storage,102.3,6765.6
1786147018.2,storage,101.9,6767.8
1786147020.2,storage,102.6,6765.6
1786147022.2,storage,101.6,6768.9
1786147024.2,storage,105.2,6745.2
1786147026.3,storage,100.7,6747.4
1786147028.3,settle,0.1,4401.3
1786147030.3,settle,0.1,4401.3
1786147032.3,settle,0.1,4401.3
1786147034.3,settle,2.9,4401.3
1786147036.4,settle,0.1,4401.3
